displayUserNick,auctionSku,rateDate,rateContent
啦***是,颜色分类:62 粉蓝色;尺寸:150/56A,2021-02-26 15:41:12,好
w***2,颜色分类:09 黑色;尺寸:150/56A,2020-11-05 16:29:09,之前在店铺买蓝色的，要买黑色的结果没码，在旗舰店无意看到有码数，价格还更优惠，果断下手。
赵***k,颜色分类:09 黑色;尺寸:160/66A,2020-11-05 14:42:31,很快降价 但不能退差价
禾***漠,颜色分类:69 藏青色;尺寸:160/68A,2020-11-05 14:26:28,此用户没有填写评论!
崔***梓,颜色分类:66 蓝色;尺寸:155/62A,2020-11-05 09:17:35,裤型很好，就是太长了，要去改边。
索***云,颜色分类:69 藏青色;尺寸:150/58A,2020-11-04 20:03:42,160 94斤这个码非常合身 拿门店改裤腿了太长了  很喜欢这种裤型的 连着买了三条裤子！
k***6,颜色分类:62 粉蓝色;尺寸:160/68A,2020-11-04 15:14:53,很好，弹力很大，很喜欢！
小***妈,颜色分类:66 蓝色;尺寸:160/66A,2020-11-04 14:34:20,这天气穿合适，每年都要他家买几条裤子，舒服
布***礼,颜色分类:69 藏青色;尺寸:160/70A,2020-11-04 13:56:09,显胖，够长
d***8,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-04 12:04:11,整体评价：特别满意!!!身高173厘米，买不到合适的裤子，这一条弹力非常好，裤腿穿了又足够长  尺码推荐：173，高体重130，160／70A完美  厚薄度：薄款 面料品质：弹力特别好 上身效果：完美
r***豆,颜色分类:09 黑色;尺寸:160/66A,2020-11-04 11:10:58,同款不同材料，真搞不懂，洗了，黑色摸着好硬
t***2,颜色分类:69 藏青色;尺寸:160/66A,2020-11-03 21:51:44,裤子有弹性 ，很舒服，唯一裤子太长 需要修剪裤脚.
赵***2,颜色分类:09 黑色;尺寸:150/58A,2020-11-03 21:33:57,挺好的
l***0,颜色分类:66 蓝色;尺寸:160/68A,2020-11-03 20:20:34,裤子很长
t***5,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-03 12:59:01,非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常非常喜欢
h***i,颜色分类:69 藏青色;尺寸:160/70A,2020-11-03 10:42:33,很舒服，价格也很美好～就是褪色有点严重，用一张干的纸巾，擦一擦裤子，纸能变成蓝色～
鱼***5,颜色分类:66 蓝色;尺寸:160/66A,2020-11-03 09:16:50,除了有点长，自己剪掉就行了，其他的都还不错
欣***3,颜色分类:69 藏青色;尺寸:160/64A,2020-11-02 22:09:31,挺好穿，身高体重☞167＆50，裤腿也有点长了，需要挽一下
简***豪,颜色分类:66 蓝色;尺寸:160/66A,2020-11-02 21:51:26,优衣库的衣服都很舒服，推荐购买，价格也实惠
t***0,颜色分类:69 藏青色;尺寸:160/70A,2020-11-02 19:28:28,很好
k***3,颜色分类:66 蓝色;尺寸:160/66A,2020-11-02 11:56:33,最后一条蓝色66号拿下了，非常显瘦，其实在门店9月份买过浅蓝，62号也能穿但是太紧，还是喜欢66号的感觉，质量也赞，真是神裤买了不后悔
b***8,颜色分类:66 蓝色;尺寸:160/66A,2020-11-01 17:20:19,好
m***3,颜色分类:66 蓝色;尺寸:160/64A,2020-11-01 16:13:08,整体还是不错，就是裤子偏长
l***e,颜色分类:69 藏青色;尺寸:160/66A,2020-11-01 14:01:36,好瘦一牛仔裤，看镜子我都惊到了&mdash;&mdash;但也好长啊，拿去裁掉了6cm
k***6,颜色分类:62 粉蓝色;尺寸:160/68A,2020-11-01 09:38:14,很好
s***0,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-01 09:26:30,好
过***o,颜色分类:62 粉蓝色;尺寸:160/70A,2020-11-01 09:19:33,裤子拿去实体店修裤脚了，很合适，颜色也如图所示没有色差，性价比高
好***7,颜色分类:66 蓝色;尺寸:150/54A,2020-10-31 15:23:31,这款好长啊&hellip;&hellip;比其他几款的同尺寸都长。
小***沙,颜色分类:66 蓝色;尺寸:160/70A,2020-10-31 13:56:08,裤子真的好长 162 要卷起好长一大截 难受
a***s,颜色分类:69 藏青色;尺寸:150/56A,2020-10-31 10:13:01,好看
k***8,颜色分类:62 粉蓝色;尺寸:165/72A,2020-10-30 23:37:03,挺好的
鸭***豆,颜色分类:66 蓝色;尺寸:165/72A,2020-10-30 12:40:50,这条裤子的裤长巨满意！优衣库好像每年都会出一款~从没有穿破裤子的我竟然也会穿破一条~缺点是掉色灰常严重！
